emoji,description_en,description_es,description_pt
🥇,1st place medal,1er lugar Medalla,1º lugar Medalha
🥈,2nd place medal,Medalla del segundo lugar,2º lugar Medalha
🥉,3rd place medal,Medalla del 3er lugar,3º lugar Medalha
🆎,AB button (blood type),Botón AB (tipo de sangre),Button AB (tipo sanguíneo)
🏧,ATM sign,Signo de cajero automático,Sinal de caixa eletrônico
🅰️,A button (blood type),Un botón (tipo de sangre),Um botão (tipo sanguíneo)
🅰,A button (blood type),Un botón (tipo de sangre),Um botão (tipo sanguíneo)
🇦🇫,Afghanistan,Afganistán,Afeganistão
🇦🇱,Albania,Albania,Albânia
🇩🇿,Algeria,Argelia,Argélia
🇦🇸,American Samoa,Samoa americana,Samoa americano
🇦🇩,Andorra,Andorra,Andorra
🇦🇴,Angola,Angola,Angola
🇦🇮,Anguilla,Anguila,Anguilla
🇦🇶,Antarctica,Antártida,Antártica
🇦🇬,Antigua & Barbuda,Antigua y Barbuda,Antígua e Barbuda
♒,Aquarius,Acuario,Aquário
🇦🇷,Argentina,Argentina,Argentina
♈,Aries,Aries,Áries
🇦🇲,Armenia,Armenia,Armênia
🇦🇼,Aruba,Aruba,Aruba
🇦🇨,Ascension Island,Isla de ascensión,Ascensão Ilha
🇦🇺,Australia,Australia,Austrália
🇦🇹,Austria,Austria,Áustria
🇦🇿,Azerbaijan,Azerbaiyán,Azerbaijão
🔙,BACK arrow,Flecha trasera,Arrow traseira
🅱️,B button (blood type),Botón B (tipo de sangre),Botão B (tipo sanguíneo)
🅱,B button (blood type),Botón B (tipo de sangre),Botão B (tipo sanguíneo)
🇧🇸,Bahamas,Bahamas,Bahamas
🇧🇭,Bahrain,Bahrain,Bahrein
🇧🇩,Bangladesh,Bangladesh,Bangladesh
🇧🇧,Barbados,Barbados,Barbados
🇧🇾,Belarus,Bielorrusia,Bielorrússia
🇧🇪,Belgium,Bélgica,Bélgica
🇧🇿,Belize,Belgo,Belize
🇧🇯,Benin,Benin,Benin
🇧🇲,Bermuda,islas Bermudas,Bermudas
🇧🇹,Bhutan,Bután,Butão
🇧🇴,Bolivia,Bolivia,Bolívia
🇧🇦,Bosnia & Herzegovina,Bosnia y Herzegovina,Bósnia e Herzegovina
🇧🇼,Botswana,Botswana,Botswana
🇧🇻,Bouvet Island,Isla bouvet,Ilha Bouvet
🇧🇷,Brazil,Brasil,Brasil
🇮🇴,British Indian Ocean Territory,Territorio del Océano Índico británico,Território do Oceano Índico Britânico
🇻🇬,British Virgin Islands,Islas Vírgenes Británicas,Ilhas Virgens Britânicas
🇧🇳,Brunei,Brunei,Brunei
🇧🇬,Bulgaria,Bulgaria,Bulgária
🇧🇫,Burkina Faso,Burkina Faso,Burkina Faso
🇧🇮,Burundi,Burundi,Burundi
🆑,CL button,Botón CL,Button Cl
🆒,COOL button,Botón genial,Botão legal
🇰🇭,Cambodia,Camboya,Camboja
🇨🇲,Cameroon,Camerún,Camarões
🇨🇦,Canada,Canadá,Canadá
🇮🇨,Canary Islands,Canarias,Ilhas Canárias
♋,Cancer,Cáncer,Câncer
🇨🇻,Cape Verde,Cabo Verde,Cabo Verde
